generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
86000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.248318,0.0396408,0.282038,0
87000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.238591,0.0699875,0.266784,0
88000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.301862,0.0222538,0.335919,0
89000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.278392,0.0894424,0.425676,0
90000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.309975,0.100449,0.482997,0
91000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.257458,0.0158966,0.24436,0
92000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.264461,0.051732,0.331139,0
93000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.186968,0.0536142,0.174753,0
94000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.259177,0.0217684,0.250902,0
95000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.347728,0.00887774,0.254497,0
96000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.31651,0.023454,0.364736,0
97000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.369959,0.0131202,0.342941,0
98000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.323029,0.00903675,0.272383,0
99000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.363387,0.00875548,0.326887,0
100000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.467449,0.01086,0.493541,0
101000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.354867,0.00242293,0.304229,0
101000,Scleria_paupercula_SC382,NA,40.7346,0.152552,0.0884494,0.0824284,0
101000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,32.7923,0.533937,0.0266203,0.0236054,0
102000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.211217,0.0064916,0.130944,0
102000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.1113,0.464231,0.0750538,0.0851882,0
103000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.192511,0.0750732,0.281702,0
103000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.6325,1.0104,-0.0740997,0.0365047,0
104000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.213631,0.0228301,0.250823,0
104000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.2845,0.70308,-0.0476204,0.010272,0
105000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.23559,0.0222868,0.260466,0
105000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.4079,0.575263,-0.00486105,0.0356464,0
106000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.300982,-0.00630385,0.1171,0
106000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,31.4593,0.349161,0.0668762,0.0619626,0
107000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.143879,0.0277501,0.0421828,0
107000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.1764,0.801005,-0.0518515,0.123256,0
108000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.106787,0.0684465,0.068343,0
108000,Scleria_hirtella_SC445,Scleria_interrupta_SC318,42.2768,1.26439,-0.0376671,0.421726,0
108000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.0722,0.693791,-0.0372093,0.0226996,0
109000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.157406,0.01433,0.0697189,0
109000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.4722,0.596283,-0.0137461,0.0445212,0
110000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.170505,0.0409724,0.148852,0
110000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,31.4562,0.740857,-0.0276236,0.107065,0
111000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.235872,0.0336835,0.328792,0
111000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,32.5333,0.438438,0.0463299,0.112698,0
112000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.204524,0.0508897,0.2672,0
112000,Scleria_ankaratrensis_SC022,Scleria_castanea_SC046,28.3062,0.389339,0.114886,0.215562,0
113000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.208082,0.0244159,0.206189,0
113000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.6186,0.818929,-0.0337506,0.0891601,0
114000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.281966,0.0046257,0.170614,0
